epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
95,0.6925,0.7142,"[ 2.56920179  4.4758163  -0.04932952  1.94958756  0.97214205  0.63055663
  1.22028701  2.11784401  2.54535541]",19.7384
96,0.693,0.6984,"[ 2.56724844  4.47383815 -0.05130976  1.95156892  0.97412173  0.63252782
  1.22226835  2.1159675   2.5472649 ]",19.7331
97,0.693,0.6868,"[ 2.56925338  4.4758405  -0.04930773  1.94956686  0.97211952  0.63052467
  1.2202663   2.11797696  2.54525659]",19.7389
98,0.6928,0.7088,"[ 2.57125044  4.47783893 -0.0473094   1.94756812  0.97012078  0.62852678
  1.21826752  2.11996446  2.5432628 ]",19.7447
99,0.6932,0.6881,"[ 2.57127496  4.47785039 -0.04729912  1.94755831  0.97011006  0.62851166
  1.21825769  2.12002716  2.54321576]",19.7449
100,0.6931,0.6916,"[ 2.57503941  4.48173759 -0.04340132  1.94365475  0.96621588  0.62465801
  1.21435455  2.12344752  2.53965894]",19.755
101,0.6932,0.6945,"[ 2.57491584  4.48167358 -0.0434598   1.94371003  0.96627612  0.62473935
  1.21441002  2.12319833  2.5398639 ]",19.7541
102,0.6931,0.6931,"[ 2.57213638  4.47903684 -0.04607411  1.94631016  0.96889729  0.62743345
  1.21701075  2.12032805  2.54271708]",19.7451
103,0.693,0.6881,"[ 2.57395345  4.48094937 -0.04415346  1.94438493  0.96697914  0.62554735
  1.21508571  2.12187094  2.54106359]",19.7496
104,0.6933,0.7056,"[ 2.57207594  4.4790092  -0.04609937  1.9463335   0.96892288  0.62746991
  1.21703414  2.12015278  2.54284152]",19.7445
105,0.6931,0.6996,"[ 2.57204658  4.47899525 -0.04611216  1.94634536  0.96893584  0.62748812
  1.21704601  2.12007401  2.54289888]",19.7442
106,0.6932,0.6967,"[ 2.57205369  4.47899845 -0.04610942  1.94634257  0.96893276  0.62748386
  1.2170432   2.12009027  2.54288543]",19.7442
107,0.6929,0.7176,"[ 2.57600378  4.48297515 -0.04213051  1.94236241  0.96495464  0.62351422
  1.21306314  2.12395735  2.53898444]",19.7561
108,0.6931,0.6899,"[ 2.577891    4.48492138 -0.0401791   1.94040842  0.96300527  0.62158395
  1.21110936  2.12567862  2.53719879]",19.7614
109,0.6929,0.7113,"[ 2.57390267  4.4809265  -0.04417465  1.94440402  0.9670004   0.6255771
  1.21510494  2.12171062  2.54117465]",19.749
110,0.6931,0.6914,"[ 2.57380173  4.48087835 -0.04421853  1.94444509  0.96704519  0.62564013
  1.21514603  2.12144925  2.54136829]",19.7481
111,0.6931,0.7073,"[ 2.57386094  4.48090596 -0.04419393  1.9444214   0.96701898  0.62560417
  1.2151222   2.12159568  2.54125384]",19.7486
112,0.6932,0.6947,"[ 2.57393829  4.48094227 -0.04416134  1.94439031  0.96698481  0.62555671
  1.215091    2.12179074  2.54110475]",19.7493
113,0.6929,0.7158,"[ 2.5699916   4.47696756 -0.0481386   1.94836861  0.97096103  0.62952366
  1.21906924  2.11792185  2.54500394]",19.7377
114,0.6932,0.6954,"[ 2.56995047  4.47694732 -0.04815727  1.94838587  0.97097971  0.62955004
  1.21908647  2.11781962  2.54507969]",19.7373
115,0.6928,0.7031,"[ 2.5738833   4.48091559 -0.04418613  1.9444129   0.9670093   0.62559154
  1.21511356  2.12164204  2.54121076]",19.7487
116,0.6934,0.7018,"[ 2.57148498  4.47868234 -0.04640187  1.94661849  0.96923029  0.62787793
  1.21731942  2.11898736  2.54378566]",19.7403
117,0.6932,0.695,"[ 2.56753564  4.47470615 -0.05038035  1.95059813  0.97320813  0.63184647
  1.22129908  2.11512072  2.54768741]",19.7291
118,0.6931,0.6929,"[ 2.56927363  4.47656801 -0.04850754  1.94871766  0.97133698  0.63002285
  1.21941844  2.11658244  2.54612063]",19.733
119,0.6929,0.7003,"[ 2.57154465  4.47871617 -0.04637141  1.94658846  0.96919766  0.6278362
  1.21728928  2.11908025  2.54369844]",19.7407
120,0.6925,0.6794,"[ 2.573389    4.4806388  -0.04444202  1.9446549   0.96726994  0.62593629
  1.21535576  2.12072248  2.54197692]",19.7455
