epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
52,0.6931,0.684,"[2.38354857 4.76315808 0.23775917 1.66270211 0.68509283 0.34348244
 1.40706213 2.40851618 2.25605973 3.62231795 2.39725616 4.0677149
 1.52135257 5.31719276 0.26542186]",20.6903
53,0.6926,0.6724,"[2.38754513 4.75916645 0.23376615 1.66669669 0.68908664 0.34747886
 1.40306611 2.40452516 2.26005452 3.61832248 2.40125308 4.07170085
 1.51735652 5.32117626 0.26142988]",20.7016
54,0.693,0.7291,"[2.38754377 4.75916986 0.2337685  1.66669454 0.68908414 0.34747745
 1.40306767 2.40452882 2.26005241 3.61832427 2.40125186 4.07169503
 1.5173581  5.32116994 0.26143298]",20.7015
55,0.693,0.699,"[2.38754927 4.75915694 0.23375615 1.66670311 0.68909378 0.34748316
 1.40306132 2.40451497 2.26006058 3.61831701 2.40125677 4.07171617
 1.51735187 5.32119581 0.26142023]",20.7017
56,0.6931,0.6822,"[2.38754353 4.75917039 0.23376778 1.66669421 0.6890837  0.3474772
 1.40306792 2.40452935 2.26005204 3.61832452 2.40125163 4.07169439
 1.5173584  5.32117041 0.26143323]",20.7015
57,0.6932,0.691,"[2.38357136 4.7631045  0.23770796 1.6627376  0.68513279 0.34350609
 1.40703581 2.4084587  2.25609362 3.62228786 2.39727651 4.06780244
 1.52132678 5.31729944 0.26536926]",20.6909
58,0.6926,0.7204,"[2.38556865 4.76111126 0.23571306 1.66473333 0.68712783 0.34550328
 1.40503893 2.406466   2.25808945 3.62029143 2.39927409 4.06979093
 1.51932991 5.31928674 0.26337541]",20.6962
59,0.6931,0.7126,"[2.3874767  4.75932284 0.2339056  1.66659147 0.6889682  0.34740786
 1.40314471 2.40469192 2.25995355 3.61841171 2.40119166 4.07145388
 1.51743414 5.32088831 0.26158213]",20.6997
60,0.693,0.6977,"[2.38941643 4.7574619  0.23203364 1.6684982  0.69086345 0.3493453
 1.40121411 2.40284038 2.26186454 3.61649062 2.40313767 4.07323107
 1.51550241 5.32262091 0.25971923]",20.7046
61,0.691,0.7637,"[2.38741759 4.75945925 0.23403054 1.66650001 0.68886544 0.34734651
 1.40321276 2.40483754 2.25986623 3.61848907 2.40113871 4.07123534
 1.51750112 5.32062669 0.26171645]",20.6982
62,0.6933,0.6826,"[2.3894212  4.75745095 0.23202188 1.66850565 0.69087167 0.34935026
 1.40120858 2.40282868 2.26187151 3.61648431 2.40314193 4.07324881
 1.51549707 5.3226443  0.25970783]",20.7047
63,0.6931,0.6827,"[2.38742124 4.75945095 0.23402132 1.66650568 0.68887168 0.34735029
 1.40320854 2.40482868 2.25987153 3.61848425 2.40114195 4.07124869
 1.51749705 5.3206445  0.26170775]",20.6982
64,0.6931,0.7147,"[2.3894177  4.75745953 0.23202846 1.66850012 0.69086534 0.34934662
 1.40121262 2.40283788 2.26186618 3.61648891 2.40313879 4.07323433
 1.5155011  5.32262764 0.25971596]",20.7046
65,0.693,0.6643,"[2.38543362 4.76142193 0.23599321 1.66452502 0.68689335 0.34536315
 1.40519422 2.4067976  2.25788988 3.62046791 2.39915301 4.06929619
 1.51948305 5.31870357 0.26367877]",20.6927
66,0.6931,0.6763,"[2.38408758 4.76260967 0.237196   1.66326966 0.68566004 0.34402543
 1.4065092  2.40797584 2.25662686 3.6217556  2.39778167 4.06816464
 1.52080101 5.3175866  0.26487101]",20.6916
67,0.6928,0.7124,"[2.38805971 4.75867588 0.23325493 1.66722617 0.68961075 0.3479965
 1.40254135 2.40404683 2.26058513 3.61779229 2.40175674 4.07205579
 1.51683273 5.32145742 0.26093506]",20.7024
68,0.6926,0.713,"[2.38606846 4.76065513 0.23523557 1.66523984 0.68762617 0.34600558
 1.40453124 2.40602457 2.25859819 3.61978074 2.39976456 4.07008998
 1.51882281 5.31949898 0.26291474]",20.6966
