epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
58,0.693,0.7029,"[ 2.45056695  4.69667552 -0.17022399  1.72952383  0.75122438  0.55450294
  0.99944649  2.34062014  2.32209853  3.2295499   2.80400895]",10.4664
59,0.6931,0.7047,"[ 2.44773326  4.69966367 -0.17322144  1.72664603  0.74823033  0.55744273
  0.99645274  2.34359854  2.31910493  3.22656652  2.80699699]",10.4853
60,0.6931,0.7085,"[ 2.44492539  4.70265133 -0.17621879  1.723792    0.74523653  0.56038241
  0.99345927  2.34657648  2.3161116   3.22358359  2.80998461]",10.5054
61,0.6931,0.6999,"[ 2.44255966  4.70560439 -0.17920855  1.72131365  0.74226042  0.56317746
  0.99048441  2.34949534  2.31313734  3.22064707  2.81293783]",10.5277
62,0.6931,0.6953,"[ 2.44171022  4.7065934  -0.18020616  1.72044118  0.74126601  0.56412978
  0.9894903   2.35047649  2.31214336  3.21966187  2.81392691]",10.5352
63,0.6931,0.7083,"[ 2.44076498  4.70758949 -0.18120533  1.71948644  0.74026798  0.5651108
  0.98849237  2.35146959  2.31114548  3.21866725  2.81492299]",10.5426
64,0.6931,0.6934,"[ 2.43898062  4.71040532 -0.18416091  1.71763708  0.73736824  0.56755477
  0.98559768  2.35418549  2.30825326  3.21590091  2.81774113]",10.5673
65,0.6932,0.7008,"[ 2.43747279  4.7115144  -0.18518685  1.71611516  0.73630921  0.56887981
  0.9845356   2.35535325  2.30718966  3.21476295  2.81884855]",10.5745
66,0.6931,0.7031,"[ 2.43556211  4.71437572 -0.18815431  1.71420979  0.73338371  0.57144501
  0.98161399  2.3581388   2.30426998  3.21193851  2.82171231]",10.6009
67,0.6932,0.6902,"[ 2.43580562  4.71341047 -0.18716182  1.71438345  0.73436592  0.57058377
  0.98259521  2.35719534  2.30525069  3.21289357  2.82074627]",10.59
68,0.6932,0.7024,"[ 2.43595998  4.71253981 -0.18619247  1.71451914  0.73529601  0.56997179
  0.98352167  2.35639347  2.30617535  3.21373071  2.81987325]",10.5804
69,0.6931,0.694,"[ 2.43554309  4.71348026 -0.18717915  1.7140957   0.73432709  0.5707617
  0.98255442  2.35729845  2.30520892  3.21280716  2.82081491]",10.5898
70,0.6931,0.6863,"[ 2.43638824  4.712481   -0.18617929  1.71490982  0.73532673  0.56976479
  0.98355404  2.35629955  2.30620852  3.21380632  2.81981558]",10.5811
